,cases,deaths,recovered,hospitalized,transmission_rate,mutation_count,severity_level,case_fatality_rate,hospitalized_rate,recovery_rate,variant_prevalence,mutation_transmission_ratio,mutation_transmission_interaction,variant_Beta,variant_Delta,variant_Epsilon,variant_Gamma,variant_Lambda,variant_Mu,variant_Omicron,variant_Theta,variant_Zeta
876,20908,4804,58305,7960,1.66,15,Moderate,22.976850966137363,38.071551559211784,278.8645494547541,0.4117901823847631,9.036144578313253,24.9,0,0,0,0,1,0,0,0,0
114,76329,3743,11924,7406,2.65,7,Severe,4.903771829841869,9.702734216352892,15.621847528462315,1.4278969027344968,2.6415094339622645,18.55,0,0,0,0,0,0,0,0,0
262,88768,1752,27373,9200,1.63,19,Moderate,1.9736842105263157,10.364095169430424,30.836562725306415,1.7677744797075747,11.656441717791411,30.97,0,0,0,0,1,0,0,0,0
844,54140,2735,21203,4222,2.69,1,Moderate,5.051717768747691,7.7983007018840045,39.16328038418914,1.1577883291771427,0.3717472118959108,2.69,0,0,0,1,0,0,0,0,0
806,58261,2915,43219,4088,0.82,12,Severe,5.0033470074320725,7.016700708879011,74.18169959320987,1.1644444799763358,14.634146341463415,9.84,0,1,0,0,0,0,0,0,0
644,52071,2977,31472,5728,0.68,3,Severe,5.717193831499299,11.000364886405102,60.44055232279004,1.2702195703242205,4.411764705882352,2.04,0,0,0,0,0,0,0,0,0
329,65433,4620,34862,4350,1.03,7,Severe,7.060657466416028,6.64802164045665,53.27892653554017,1.2240639604426407,6.796116504854369,7.21,0,0,0,0,0,0,0,0,1
656,40610,4951,83797,6811,2.47,4,Critical,12.191578428958385,16.77173110071411,206.34572765328735,0.8670930603730358,1.6194331983805668,9.88,0,0,0,0,0,1,0,0,0
56,77375,2743,43906,6116,1.64,11,Mild,3.5450726978998386,7.9043618739903065,56.744426494345724,1.8874851501572192,6.707317073170732,18.04,1,0,0,0,0,0,0,0,0
395,19186,4520,65056,5061,2.37,11,Mild,23.55884499113937,26.378609402689463,339.08057958928384,0.38170938399076704,4.641350210970464,26.07,0,0,0,0,0,0,0,0,0
463,66777,3342,51668,4249,2.63,8,Mild,5.00471719304551,6.362969285831949,77.37394611917277,1.3298336836634004,3.0418250950570345,21.04,0,0,1,0,0,0,0,0,0
217,71010,4939,60056,9925,1.77,18,Severe,6.95535840022532,13.976904661315306,84.57400366145613,1.4127584362130912,10.169491525423728,31.86,0,0,0,0,0,1,0,0,0
976,79403,1094,63977,2141,1.03,10,Mild,1.3777816959056963,2.696371673614347,80.57252244877398,1.4854026355359988,9.70873786407767,10.3,0,1,0,0,0,0,0,0,0
790,46254,3249,64942,3124,0.84,14,Moderate,7.024257361525489,6.754010463959874,140.40299217364984,1.1283197174199937,16.666666666666668,11.76,0,0,0,0,0,0,0,1,0
814,19108,4933,90683,5850,2.73,17,Mild,25.816411974042285,30.615449026585722,474.5813271927989,0.38052715796517145,6.227106227106227,46.41,0,0,0,0,1,0,0,0,0
877,52489,3196,72734,1006,1.72,3,Mild,6.088894816056698,1.9165920478576464,138.56998609232411,1.0337887355650386,1.744186046511628,5.16,0,0,0,0,0,0,1,0,0
304,95174,1151,83156,4768,1.48,1,Moderate,1.2093639019059825,5.00977157627083,87.37260176098515,1.8935061457279925,0.6756756756756757,1.48,0,0,0,1,0,0,0,0,0
682,49947,3816,22742,6113,1.64,13,Moderate,7.64009850441468,12.238973311710414,45.532264200052055,0.9837231796236733,7.926829268292684,21.32,0,0,0,0,0,1,0,0,0
493,95140,4426,13648,6368,2.05,6,Severe,4.652091654404036,6.6932940929157025,14.34517553079672,2.0314019641440684,2.9268292682926833,12.299999999999999,0,0,0,0,0,1,0,0,0
582,84854,2895,46856,4184,0.76,10,Critical,3.4117425224503264,4.930822353689867,55.219553586159755,1.81177824538029,13.157894736842104,7.6,0,0,0,0,0,0,0,0,0
137,98796,3008,73698,9908,1.02,18,Critical,3.0446576784485204,10.028746103081096,74.59613749544516,1.8481901034018176,17.647058823529413,18.36,0,0,0,0,0,0,1,0,0
707,76069,3406,79812,4503,0.72,5,Mild,4.477513836122467,5.919625603070896,104.92053267428257,1.513408273261423,6.944444444444445,3.5999999999999996,0,0,0,1,0,0,0,0,0
705,20231,2798,45946,4378,2.6,11,Critical,13.830260491325195,21.640057337749,227.10691513024565,0.43196650343282167,4.230769230769231,28.6,1,0,0,0,0,0,0,0,0
786,37813,3278,67663,2738,1.55,13,Severe,8.66897627799963,7.240895988152222,178.94110491100946,0.7447399161333005,8.387096774193548,20.150000000000002,0,0,0,0,0,1,0,0,0
341,68748,3093,74761,8498,0.76,3,Severe,4.499039972071915,12.361086867981614,108.74643625996391,1.3575671215520988,3.9473684210526314,2.2800000000000002,0,0,0,0,0,0,0,0,1
896,47691,2217,40272,3793,1.4,4,Critical,4.6486758507894566,7.953282590006499,84.44360571176952,0.953185178671005,2.857142857142857,5.6,0,0,0,0,0,0,0,0,1
506,7697,2434,58269,697,2.67,8,Moderate,31.622710146810444,9.055476159542678,757.0352085228011,0.15159503701049937,2.9962546816479403,21.36,0,0,0,1,0,0,0,0,0
364,64189,516,4348,2486,1.78,13,Mild,0.8038760535294209,3.872937730763838,6.773746280515352,1.5658259683805071,7.303370786516854,23.14,0,0,0,0,0,0,1,0,0
388,10751,201,62951,6201,0.93,3,Critical,1.869593526183611,57.67835550181378,585.5362291879825,0.2622598106538322,3.225806451612903,2.79,0,0,0,0,0,0,1,0,0
59,9687,869,64779,5877,2.38,16,Critical,8.970785588933621,60.6689377516259,668.7209662434191,0.1929122136910517,6.722689075630252,38.08,0,0,0,0,0,0,0,1,0
723,10307,4135,39610,6372,0.96,4,Severe,40.11836615892112,61.82206267585136,384.3019307266906,0.2060028021337789,4.166666666666667,3.84,0,0,0,0,0,0,0,1,0
76,59265,7,44789,5673,0.75,9,Mild,0.011811355774909306,9.572260187294356,75.57411625748756,1.1672443638336034,12.0,6.75,0,0,0,0,0,0,0,0,1
181,48300,4570,93145,3375,0.62,12,Critical,9.461697722567287,6.987577639751552,192.84679089026915,1.0328994514084964,19.35483870967742,7.4399999999999995,0,0,0,0,0,0,1,0,0
652,2484,3388,46192,8372,1.58,17,Critical,136.39291465378423,337.037037037037,1859.5813204508859,0.04905156120811389,10.759493670886075,26.86,0,0,0,0,0,0,0,0,1
818,5893,160,72792,8331,2.78,2,Moderate,2.7150856948922453,141.3711182759206,1235.2282368912267,0.1177815574827165,0.7194244604316548,5.56,0,0,0,0,0,0,0,0,0
901,33102,2961,66521,9271,2.91,4,Mild,8.945078847199566,28.0073711558214,200.95764606368195,0.6615993748163723,1.3745704467353952,11.64,0,0,0,0,0,0,0,0,0
467,88603,72,75476,2381,1.83,4,Severe,0.08126135683893321,2.6872679254652776,85.18447456632394,1.6972639537287109,2.1857923497267757,7.32,1,0,0,0,0,0,0,0,0
619,95171,3067,90945,8052,1.01,19,Mild,3.222620336026731,8.460560464847484,95.55957171827552,1.8934464601159848,18.81188118811881,19.19,0,0,0,0,0,0,0,0,1
843,93735,3839,69567,2893,0.86,16,Severe,4.095588627513735,3.0863604843441617,74.21667466794688,2.0014028075367274,18.6046511627907,13.76,0,0,0,1,0,0,0,0,0
405,78133,3366,29482,7788,2.47,9,Severe,4.308038856821062,9.967619315782065,37.73309613095619,1.4616445741638753,3.643724696356275,22.23,0,0,0,0,0,1,0,0,0
536,59600,3697,50649,8891,2.83,4,Severe,6.203020134228188,14.917785234899327,84.98154362416108,1.1912066563668597,1.4134275618374559,11.32,0,0,0,0,0,0,0,0,1
848,16311,956,6185,3011,0.94,19,Moderate,5.8610753479247135,18.45993501318129,37.91919563484765,0.34881206939801207,20.21276595744681,17.86,0,0,1,0,0,0,0,0,0
832,23578,2949,27286,4146,2.16,10,Mild,12.507422173212316,17.584188650436847,115.72652472643989,0.5042174589090999,4.62962962962963,21.6,0,0,0,0,0,0,1,0,0
141,10549,4410,386,9411,1.63,3,Mild,41.804910418049104,89.21224760640818,3.6591146080197174,0.19734156646813408,1.8404907975460123,4.89,0,0,0,0,0,1,0,0,0
263,82425,2610,71812,5438,1.14,9,Critical,3.1665150136487714,6.597512890506521,87.12405216863816,1.6398621899009158,7.894736842105264,10.26,0,0,0,1,0,0,0,0,0
325,17187,1476,66213,1083,0.56,2,Severe,8.587886193052888,6.301274218886367,385.250480013964,0.3292312401694678,3.571428571428571,1.12,0,0,0,0,0,0,0,1,0
280,46671,4858,20439,3207,0.78,19,Moderate,10.409033446894217,6.871504788841036,43.793790576589316,0.9192012436425901,24.358974358974358,14.82,0,0,0,0,1,0,0,0,0
823,43248,1093,63527,7392,1.19,19,Severe,2.5272844987051424,17.092119866814652,146.89002959674434,0.8604277826974196,15.966386554621849,22.61,0,0,0,0,1,0,0,0,0
969,53654,884,17291,5375,2.88,2,Severe,1.647593842024826,10.017892421813844,32.226860998248036,1.0674572755467848,0.6944444444444444,5.76,0,0,0,0,0,0,1,0,0
321,94711,4997,23979,3169,1.93,5,Severe,5.276050300387495,3.3459682613423998,25.31807287432294,1.8861266306279754,2.5906735751295336,9.65,0,0,0,0,0,1,0,0,0
352,52880,4690,68359,8062,0.58,1,Critical,8.869137670196672,15.245839636913766,129.27193645990923,1.0530812284487265,1.7241379310344829,0.58,0,0,0,1,0,0,0,0,0
643,28498,1920,32056,4907,2.44,1,Critical,6.737314899291179,17.21875219313636,112.48508667274896,0.5695806592809189,0.4098360655737705,2.44,1,0,0,0,0,0,0,0,0
445,75849,816,30193,7611,0.73,8,Severe,1.0758216983744018,10.034410473440653,39.80672124879695,1.5159703637377506,10.95890410958904,5.84,1,0,0,0,0,0,0,0,0
804,28090,3988,87642,7109,2.38,10,Moderate,14.197223211107154,25.307938768244924,312.00427198291203,0.5254834204275179,4.201680672268908,23.799999999999997,0,0,0,0,0,0,0,0,1
633,36693,136,16509,7309,2.23,1,Critical,0.37064290191589677,19.91933066252419,44.9922328509525,0.7245768661068127,0.4484304932735426,2.23,1,0,0,0,0,0,0,0,0
664,90202,3645,92046,6401,2.94,17,Moderate,4.0409303563113905,7.096294982372895,102.04430056983216,1.7963319396469748,5.782312925170068,49.98,0,0,0,0,0,1,0,0,0
593,1240,2512,85531,4497,0.84,7,Moderate,202.58064516129033,362.6612903225806,6897.661290322581,0.026476123980856057,8.333333333333334,5.88,0,0,0,1,0,0,0,0,0
688,10603,4524,4976,5087,2.03,3,Mild,42.66716966896161,47.97698764500613,46.93011411864567,0.25864949980118895,1.4778325123152711,6.09,0,0,0,1,0,0,0,0,0
578,57269,4717,85216,1917,1.27,4,Moderate,8.236567776633082,3.3473607012519864,148.79952504845554,1.2247022501596931,3.149606299212598,5.08,0,0,0,0,0,0,0,0,1
549,50198,3074,58869,8812,0.55,6,Severe,6.123749950197219,17.554484242400097,117.27359655763179,0.9912601729166267,10.909090909090908,3.3000000000000003,0,0,0,0,0,0,1,0,0
808,22540,3046,54795,4161,1.25,10,Severe,13.513753327417923,18.460514640638863,243.1011535048802,0.42165882151784456,8.0,12.5,0,1,0,0,0,0,0,0,0
486,11220,4897,57580,9498,0.63,5,Critical,43.64527629233512,84.6524064171123,513.1907308377896,0.2209817221330133,7.936507936507937,3.15,0,0,0,0,0,0,0,0,0
163,23483,4500,82856,6569,1.61,8,Severe,19.162798620278497,27.973427585913214,352.83396499595455,0.46371892586559516,4.968944099378882,12.88,0,1,0,0,0,0,0,0,0
464,83655,4739,92100,4489,0.63,6,Mild,5.66493335724105,5.3660869045484425,110.09503317195626,1.6476137223740843,9.523809523809524,3.7800000000000002,0,0,0,0,0,0,0,1,0
516,2269,2556,81830,9846,1.81,6,Mild,112.6487439400617,433.9356544733363,3606.434552666373,0.045349797035174576,3.314917127071823,10.86,0,0,0,0,0,0,1,0,0
946,51474,3882,47284,9304,1.35,3,Moderate,7.541671523487587,18.075144733263397,91.85996813925476,1.0990580691859553,2.222222222222222,4.050000000000001,0,0,0,1,0,0,0,0,0
447,62593,1920,88259,2805,0.53,1,Critical,3.067435655744253,4.481331778313869,141.00458517725625,1.1990208306235817,1.8867924528301885,0.53,0,0,0,0,0,0,0,0,0
427,90000,1088,65383,9389,2.69,13,Moderate,1.208888888888889,10.432222222222222,72.64777777777778,1.9246573628729744,4.83271375464684,34.97,0,0,0,0,0,0,1,0,0
423,94575,4195,61652,4626,0.67,8,Moderate,4.43563309542691,4.891356066613799,65.18847475548506,2.0224941121523505,11.940298507462686,5.36,0,0,0,0,0,1,0,0,0
44,8538,619,92999,956,2.66,18,Severe,7.249941438275943,11.197001639728274,1089.2363551182946,0.1698652517728119,6.7669172932330826,47.88,0,0,0,0,0,0,0,1,0
13,79573,3173,77744,609,2.27,4,Critical,3.9875334598419063,0.7653349754313649,97.70148165835145,1.5713284541116128,1.7621145374449338,9.08,0,0,0,1,0,0,0,0,0
942,3966,2789,69689,5101,0.59,13,Moderate,70.32274331820474,128.61825516893595,1757.1608673726676,0.07811172103204372,22.033898305084747,7.67,0,0,1,0,0,0,0,0,0
614,97908,720,47997,9938,2.87,9,Critical,0.7353842382644932,10.150345222045186,49.02255178330678,1.928331412709364,3.1358885017421603,25.830000000000002,0,0,0,0,0,0,0,1,0
376,22290,451,24050,4586,1.16,10,Moderate,2.0233288470165993,20.574248541947064,107.89591745177209,0.4269834376783288,8.620689655172415,11.6,0,1,0,0,0,0,0,0,0
603,26186,1647,75924,7450,1.79,13,Mild,6.289620407851523,28.45031696326281,289.9411899488276,0.5157421903542857,7.262569832402234,23.27,0,0,0,1,0,0,0,0,0
379,46837,4310,5948,1472,0.81,11,Moderate,9.202126523902043,3.142814441573969,12.699361615816555,0.8761860791229497,13.580246913580247,8.91,0,0,0,1,0,0,0,0,0
323,16824,2386,29573,691,2.86,8,Critical,14.182120779838325,4.107227769852591,175.77864954826438,0.33625605346839005,2.7972027972027975,22.88,0,0,0,0,0,0,0,1,0
309,56144,3490,15691,5718,0.69,5,Moderate,6.21615844970077,10.184525505842121,27.94777714448561,1.1086758665331506,7.246376811594203,3.4499999999999997,0,0,0,0,0,0,0,0,0
534,15073,679,19651,5427,1.77,15,Moderate,4.5047435812379755,36.00477675313474,130.3721886817488,0.2819726449307219,8.474576271186441,26.55,0,0,0,0,0,1,0,0,0
828,39229,3191,5247,2233,2.7,9,Severe,8.134288409085116,5.6922174921614115,13.375309082566469,0.7812277517173808,3.333333333333333,24.3,0,0,0,0,1,0,0,0,0
285,42852,4357,3408,5612,1.13,16,Mild,10.167553439746104,13.096238215252498,7.952954354522543,0.8439847376866207,14.15929203539823,18.08,0,0,1,0,0,0,0,0,0
531,61616,4458,93128,3168,2.55,6,Mild,7.235133731498313,5.141521682679824,151.14256037392886,1.2167314796292854,2.3529411764705883,15.299999999999999,0,0,0,0,0,0,0,1,0
521,8136,2912,40367,8191,0.82,17,Moderate,35.79154375614553,100.67600786627335,496.15290068829887,0.16024129155741498,20.731707317073173,13.94,0,0,0,0,0,0,1,0,0
419,72075,4168,8898,5224,1.27,10,Severe,5.782865071106486,7.248005549774541,12.34547346514048,1.4232654082426763,7.874015748031496,12.7,0,0,0,0,0,1,0,0,0
929,1501,206,68161,77,2.95,1,Moderate,13.724183877415056,5.129913391072619,4541.039307128581,0.028079409542958504,0.3389830508474576,2.95,0,0,0,0,0,1,0,0,0
540,3336,3769,58629,5828,1.66,8,Severe,112.97961630695443,174.70023980815347,1757.4640287769785,0.065703656420297,4.819277108433735,13.28,0,0,0,0,1,0,0,0,0
999,49529,4134,12665,8748,1.24,2,Severe,8.346625209473238,17.662379615982555,25.570877667629066,0.9780494263593691,1.6129032258064517,2.48,0,0,0,0,0,0,0,0,1
101,40818,2837,54772,5219,0.78,14,Moderate,6.950365035033563,12.78602577294331,134.1858983781665,0.8060332630405768,17.94871794871795,10.92,0,0,0,0,0,0,0,0,0
152,65777,4746,74105,9792,0.52,10,Severe,7.2152880186083275,14.886662511212126,112.66096051811422,1.3146644334872974,19.23076923076923,5.2,0,0,0,0,1,0,0,0,0
155,74667,2635,66720,5808,0.59,19,Critical,3.529002102669185,7.778536702961148,89.3567439431074,1.3968056444664108,32.20338983050848,11.209999999999999,0,0,0,0,0,0,1,0,0
92,84346,4009,83544,2165,1.79,14,Moderate,4.753041045218505,2.566808147392882,99.04915467242074,1.6612232027656986,7.82122905027933,25.060000000000002,0,0,0,0,0,0,1,0,0
199,6916,4958,91450,6480,1.22,8,Critical,71.68883747831116,93.69577790630423,1322.2961249277039,0.13248171623971836,6.557377049180328,9.76,0,0,0,0,1,0,0,0,0
51,92151,1605,87488,3600,1.31,5,Mild,1.7417065468633002,3.906631506983104,94.93982702303828,1.819706286992312,3.8167938931297707,6.550000000000001,0,0,0,0,0,0,0,0,0
809,35305,974,5593,8921,0.59,10,Severe,2.758816031723552,25.268375584194875,15.841948732474155,0.7030830705442944,16.949152542372882,5.8999999999999995,0,0,0,0,0,0,0,1,0
185,94940,1390,78438,6673,2.07,15,Mild,1.464082578470613,7.028649673477987,82.6184958921424,1.888850667991422,7.246376811594203,31.049999999999997,1,0,0,0,0,0,0,0,0
587,80488,2594,32030,5606,2.96,12,Mild,3.2228406719014018,6.965013418149289,39.7947520127224,1.602882033195558,4.054054054054054,35.519999999999996,0,0,0,0,0,0,1,0,0
271,18330,1914,2011,7617,0.7,14,Critical,10.44189852700491,41.55482815057283,10.971085651936715,0.3913768972331383,20.0,9.799999999999999,0,0,1,0,0,0,0,0,0
724,87429,2621,53915,9753,0.52,12,Moderate,2.997861121595809,11.155337473835912,61.66718137002596,1.6355461005538436,23.076923076923077,6.24,0,0,0,0,0,0,0,0,0
65,87589,796,66032,8703,1.44,12,Critical,0.9087899165420315,9.936179200584547,75.38846202148672,1.6778399427010828,8.333333333333334,17.28,0,0,0,0,0,0,0,1,0
266,90006,2536,55071,9653,1.8,18,Severe,2.817589938448548,10.724840566184476,61.185920938604085,1.7773489605867547,10.0,32.4,0,0,0,0,0,0,0,0,0
775,46201,53,49396,1600,2.97,4,Mild,0.11471613168546135,3.4631285037120407,106.91543473085,0.9880121646899366,1.3468013468013467,11.88,0,0,0,1,0,0,0,0,0
236,58743,3599,58210,7245,0.58,7,Mild,6.12668743509865,12.333384403248045,99.09265784859473,1.1740780640093698,12.06896551724138,4.06,0,0,0,0,0,1,0,0,0
963,55768,1828,42982,2006,1.14,4,Severe,3.277865442547698,3.597044900301248,77.07287333237699,1.360404159663558,3.5087719298245617,4.56,0,0,0,0,0,1,0,0,0
983,92869,4659,12304,1420,0.71,13,Mild,5.016744015764141,1.529035523156274,13.248769772475208,1.737312914620262,18.30985915492958,9.23,0,0,0,1,0,0,0,0,0
189,4593,2583,67434,6029,1.86,12,Moderate,56.23775310254735,131.2649684302199,1468.1907250163292,0.08798272450679966,6.451612903225806,22.32,0,0,0,0,0,1,0,0,0
537,36675,1358,71595,5613,2.65,5,Severe,3.7027948193592364,15.304703476482617,195.21472392638037,0.8946496656803362,1.8867924528301887,13.25,0,0,0,0,0,0,0,1,0
144,73054,4200,45586,6758,2.62,11,Severe,5.749171845484162,9.250691269471897,62.40041613053358,1.4425977264482899,4.198473282442748,28.82,0,0,0,0,0,0,0,0,0
251,59971,3722,76968,9291,2.29,10,Severe,6.206333060979474,15.492488035884012,128.3420319821247,1.1986217179358547,4.366812227074235,22.9,0,1,0,0,0,0,0,0,0
434,74978,2964,94263,9983,1.77,19,Critical,3.9531595934807546,13.314572274533864,125.7208781242498,1.4917026056947633,10.734463276836157,33.63,0,0,0,0,0,0,0,1,0
771,16337,2891,46300,8905,1.09,2,Critical,17.696027422415376,54.508171634939096,283.40576605251886,0.34882293344777854,1.8348623853211008,2.18,0,1,0,0,0,0,0,0,0
750,15692,2618,52600,5279,1.37,13,Critical,16.683660463930668,33.64134590874331,335.2026510323732,0.3098700074386969,9.48905109489051,17.810000000000002,0,0,0,0,0,0,1,0,0
507,47193,1993,35236,4671,1.75,1,Mild,4.223083931939059,9.897654313139661,74.66361536668575,1.0076513863133385,0.5714285714285714,1.75,0,0,0,0,0,0,0,0,0
576,85190,3935,50308,9926,2.37,12,Moderate,4.619086747270806,11.651602300739523,59.053879563329026,2.0781241995721293,5.063291139240506,28.44,0,0,0,0,0,0,0,0,0
935,19711,3255,26731,4835,2.75,17,Moderate,16.513621835523313,24.52945056060068,135.6146314240779,0.3925356296133292,6.181818181818182,46.75,0,0,0,0,0,0,0,0,0
16,6729,1592,47943,9494,1.96,16,Critical,23.65879031059593,141.09080101055133,712.4832813196612,0.14367567602191966,8.16326530612245,31.36,1,0,0,0,0,0,0,0,0
484,94433,4164,47151,6748,0.81,2,Critical,4.409475501148963,7.145807080152065,49.93063865386041,1.7665708736643575,2.4691358024691357,1.62,0,0,1,0,0,0,0,0,0
560,238,802,20485,5464,0.74,13,Critical,336.97478991596637,2295.798319327731,8607.142857142857,0.005089649470708532,17.56756756756757,9.62,0,1,0,0,0,0,0,0,0
381,38311,3474,39069,8546,1.88,7,Mild,9.06789172822427,22.306909242776225,101.97854402129936,0.7629461978649614,3.7234042553191493,13.16,0,0,1,0,0,0,0,0,0
660,25618,816,49291,4971,0.62,7,Severe,3.185260363806698,19.404325083925364,192.40768209852448,0.5096753361344454,11.290322580645162,4.34,0,0,0,0,0,0,1,0,0
8,37811,3431,44304,1903,2.48,18,Critical,9.074078971727804,5.032926926026818,117.172251461215,0.7522575585361666,7.258064516129032,44.64,0,0,1,0,0,0,0,0,0
483,11838,2784,29184,9957,2.82,3,Severe,23.51748606183477,84.11049163710086,246.52812975164724,0.2366024227864242,1.0638297872340425,8.459999999999999,0,0,0,0,0,0,0,0,1
191,34328,3075,35514,566,1.18,14,Moderate,8.957702167326962,1.648799813563272,103.45490561640642,0.6861030553651268,11.864406779661017,16.52,0,0,0,0,0,1,0,0,0
490,1029,3901,13749,6701,1.64,11,Severe,379.1059280855199,651.2147716229349,1336.1516034985423,0.020566302842307024,6.707317073170732,18.04,0,0,0,0,0,0,0,0,0
73,9446,519,11201,8957,1.87,9,Mild,5.494389159432564,94.82320558966758,118.57929282235867,0.20168827993803734,4.81283422459893,16.830000000000002,0,0,0,0,0,0,1,0,0
93,77075,3326,46201,6421,2.62,10,Severe,4.315277327278625,8.330846578008433,59.94291274732404,1.5404740442865053,3.8167938931297707,26.200000000000003,0,0,0,0,0,0,0,1,0
418,93633,3849,60043,7798,1.54,1,Severe,4.110730191278716,8.328260335565453,64.12589578460586,1.8489713488725152,0.6493506493506493,1.54,0,0,0,0,0,0,1,0,0
884,57605,2730,30055,5609,1.65,6,Moderate,4.739171946879611,9.737001996354483,52.17429042617828,1.1513332120807542,3.6363636363636367,9.899999999999999,0,0,0,0,0,0,0,1,0
241,72792,1991,34692,9105,0.66,10,Moderate,2.735190680294538,12.508242664029016,47.65908341575997,1.394391134835393,15.15151515151515,6.6000000000000005,0,0,0,1,0,0,0,0,0
105,58167,3947,6951,9937,0.66,3,Severe,6.78563446627813,17.083569721663487,11.950074784671722,1.1625657312230055,4.545454545454545,1.98,0,0,0,0,0,0,1,0,0
552,56982,1637,41988,456,2.7,16,Critical,2.8728370362570637,0.8002527113825418,73.68642729282932,1.2166633037718868,5.925925925925926,43.2,0,0,1,0,0,0,0,0,0
923,36121,3505,4128,3202,2.26,14,Critical,9.703496580936298,8.86464937294095,11.428255031699011,0.7114153997474664,6.194690265486726,31.639999999999997,0,0,0,0,0,0,0,0,1
856,80842,2828,68362,922,1.85,11,Critical,3.498181638257342,1.1404962766878604,84.56247989906237,1.596387403859236,5.945945945945946,20.35,0,0,1,0,0,0,0,0,0
867,86092,2509,9665,7515,2.76,19,Mild,2.9143242113088323,8.729034056590624,11.226362495934582,1.841084463160668,6.884057971014493,52.44,0,0,0,0,1,0,0,0,0
143,86761,1064,84949,9092,1.61,3,Moderate,1.2263574647595117,10.479362847362294,97.91150401678173,1.7132699283321937,1.8633540372670807,4.83,0,0,0,0,0,1,0,0,0
339,44702,3222,23626,1995,0.65,7,Moderate,7.207731197709275,4.4628875665518315,52.85222137711959,0.8934449656528752,10.769230769230768,4.55,0,0,0,0,0,0,0,1,0
989,58685,4331,60247,9612,0.8,5,Critical,7.380080088608673,16.37897248019085,102.66166822867855,1.0978282138764288,6.25,4.0,0,0,0,0,0,0,0,1,0
760,7290,3471,370,6688,2.67,9,Mild,47.61316872427984,91.74211248285322,5.075445816186557,0.15589724639271094,3.370786516853933,24.03,1,0,0,0,0,0,0,0,0
980,90406,2323,39396,8644,2.65,8,Mild,2.569519722142336,9.561312302280822,43.57675375528173,1.785247762713665,3.018867924528302,21.2,0,1,0,0,0,0,0,0,0
778,56478,615,15266,9007,2.34,1,Critical,1.0889195793052162,15.947802684231027,27.029993979956796,1.1236413316496685,0.4273504273504274,2.34,0,0,0,0,1,0,0,0,0
602,55790,4590,92257,9140,2.3,7,Critical,8.227280874708729,16.382864312600827,165.3647607098046,1.1930737141631473,3.0434782608695654,16.099999999999998,0,0,0,0,1,0,0,0,0
529,18900,444,52277,9168,0.83,10,Moderate,2.3492063492063493,48.507936507936506,276.5978835978836,0.4610464534794371,12.048192771084338,8.299999999999999,0,0,0,0,0,0,0,1,0
782,74863,2781,29377,8102,1.01,5,Severe,3.7147856751666373,10.822435649119058,39.24101358481493,1.5984532819184087,4.9504950495049505,5.05,1,0,0,0,0,0,0,0,0
10,11216,1994,12503,1662,1.71,13,Mild,17.778174037089872,14.818116975748929,111.4746790299572,0.22314460809133968,7.60233918128655,22.23,0,1,0,0,0,0,0,0,0
75,12863,2409,59224,5412,1.13,2,Mild,18.728134960740107,42.074166213169555,460.4213636010262,0.2561608139473519,1.7699115044247788,2.26,0,0,0,0,0,0,0,1,0
716,1481,4316,25541,7980,0.76,16,Moderate,291.4247130317353,538.8251181634031,1724.57798784605,0.02916879950793161,21.05263157894737,12.16,0,0,0,1,0,0,0,0,0
74,687,3212,71144,5940,2.86,6,Mild,467.5400291120815,864.6288209606986,10355.74963609898,0.014668626753909765,2.097902097902098,17.16,0,0,1,0,0,0,0,0,0
150,72337,2780,86174,3106,2.52,11,Critical,3.843123159655501,4.293791558953233,119.12852343890401,1.7645882172138645,4.365079365079365,27.72,0,0,0,1,0,0,0,0,0
858,25699,2506,28885,505,2.25,4,Moderate,9.751352192692323,1.965057006109187,112.39736954745321,0.51363791714718,1.7777777777777777,9.0,0,0,0,1,0,0,0,0,0
694,66724,2104,39926,3615,1.67,17,Severe,3.153288172171932,5.41784065703495,59.83753971584438,1.3141519097685541,10.179640718562874,28.39,0,0,0,0,0,0,0,0,0
686,27910,658,80202,9609,2.87,19,Severe,2.3575779290576855,34.42852024364027,287.35936940164817,0.5552751437080323,6.620209059233449,54.53,0,0,0,0,1,0,0,0,0
439,10616,2461,24416,188,1.61,6,Critical,23.181989449886963,1.7709118311981915,229.99246420497363,0.21217868899313058,3.7267080745341614,9.66,0,0,1,0,0,0,0,0,0
882,76496,4478,81472,7863,0.87,12,Severe,5.85390085756118,10.278968834971764,106.50491528968836,1.5233831628482182,13.793103448275863,10.44,1,0,0,0,0,0,0,0,0
452,84262,175,60344,1139,2.98,16,Severe,0.20768555220621396,1.351736251216444,71.61472549903871,1.6639221620443205,5.369127516778524,47.68,0,0,0,0,0,0,0,0,0
103,74758,2936,50868,4687,1.87,5,Mild,3.927338880119853,6.269563123679071,68.04355386714465,1.4873256608142271,2.6737967914438503,9.350000000000001,0,0,0,0,0,1,0,0,0
616,60111,498,45915,1459,0.81,6,Mild,0.8284673354294555,2.4271763903445294,76.38369017317962,1.2854786526628597,7.4074074074074066,4.86,0,0,0,0,0,0,0,1,0
261,26749,2800,38184,5276,0.63,10,Mild,10.46768103480504,19.724101835582637,142.74926165464132,0.5720295533276578,15.873015873015873,6.3,1,0,0,0,0,0,0,0,0
